2016-10-14 16:28:38,571 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-12-21 14:25:52,223 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-12-21 14:25:52,262 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@158763{/help,null,AVAILABLE}
2016-12-21 14:25:52,279 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1a121b7{HTTP/1.1,[http/1.1]}{127.0.0.1:53754}
2016-12-21 14:25:52,280 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @137442ms
2016-12-21 14:26:59,441 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@1a121b7{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-12-21 14:26:59,476 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@158763{/help,null,UNAVAILABLE}
2016-12-21 14:46:24,861 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-12-22 18:20:34,753 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-12-22 18:57:48,828 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-12-24 09:51:13,712 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-12-26 16:27:27,627 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-12-27 23:21:55,742 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is not available. Remote download required.
2017-01-03 19:24:52,136 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is not available. Remote download required.
2017-01-06 12:54:23,433 [Worker-7] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-01-06 19:53:56,211 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-01-07 09:06:57,244 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-01-07 18:25:41,696 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
